Telepules,Jogallas,Megye,Kisterseg,Lako_nepesseg,roma_onkormanyzat
Aba,város,Fejér,Székesfehérvári,"4,424",
Abádszalók,város,Jász-Nagykun-Szolnok,Kunhegyesi,"4,160",1
Abaliget,község,Baranya,Pécsi,649,1
Abasár,község,Heves,Gyöngyösi,"2,493",
Abaújalpár,község,Borsod-Abaúj-Zemplén,Gönci,59,
Abaújkér,község,Borsod-Abaúj-Zemplén,Gönci,609,1
Abaújlak,község,Borsod-Abaúj-Zemplén,Szikszói,70,
Abaújszántó,város,Borsod-Abaúj-Zemplén,Gönci,"3,021",1
Abaújszolnok,község,Borsod-Abaúj-Zemplén,Szikszói,169,1
Abaújvár,község,Borsod-Abaúj-Zemplén,Gönci,256,
Abda,község,Győr-Moson-Sopron,Győri,"3,138",
Abod,község,Borsod-Abaúj-Zemplén,Edelényi,213,1
Abony,város,Pest,Ceglédi,"14,508",1
Ábrahámhegy,község,Veszprém,Tapolcai,423,
Ács,város,Komárom-Esztergom,Komáromi,"6,793",1
Acsa,község,Pest,Váci,"1,381",1
Acsád,község,Vas,Szombathelyi,677,
Acsalag,község,Győr-Moson-Sopron,Csornai,485,
Ácsteszér,község,Komárom-Esztergom,Kisbéri,691,
Adács,község,Heves,Gyöngyösi,"2,602",1
Ádánd,község,Somogy,Siófoki,"2,112",1
Adásztevel,község,Veszprém,Pápai,763,
Adony,város,Fejér,Dunaújvárosi,"3,686",
Adorjánháza,község,Veszprém,Devecseri,354,
Adorjás,község,Baranya,Sellyei,190,1
Ág,község,Baranya,Hegyháti,192,1
Ágasegyháza,község,Bács-Kiskun,Kecskeméti,"1,880",
Ágfalva,község,Győr-Moson-Sopron,Soproni,"2,225",
Aggtelek,község,Borsod-Abaúj-Zemplén,Putnoki,555,
Agyagosszergény,község,Győr-Moson-Sopron,Kapuvári,937,
Ajak,város,Szabolcs-Szatmár-Bereg,Kisvárdai,"3,709",1
Ajka,város,Veszprém,Ajkai,"28,284",1
Aka,község,Komárom-Esztergom,Kisbéri,248,
Akasztó,község,Bács-Kiskun,Kiskőrösi,"3,348",
Alacska,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,772,
Alap,község,Fejér,Sárbogárdi,"1,885",
Alattyán,község,Jász-Nagykun-Szolnok,Jászapáti,"1,950",1
Albertirsa,város,Pest,Ceglédi,"12,188",1
Alcsútdoboz,község,Fejér,Bicskei,"1,449",
Aldebrő,község,Heves,Füzesabonyi,714,
Algyő,nagyközség,Csongrád,Szegedi,"5,108",
Alibánfa,község,Zala,Zalaegerszegi,403,
Almamellék,község,Baranya,Szigetvári,369,
Almásfüzitő,község,Komárom-Esztergom,Komáromi,"2,090",
Almásháza,község,Zala,Zalaegerszegi,76,
Almáskamarás,község,Békés,Mezőkovácsházai,852,
Almáskeresztúr,község,Baranya,Szigetvári,81,
Álmosd,község,Hajdú-Bihar,Nyíradonyi,"1,624",1
Alsóberecki,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,698,
Alsóbogát,község,Somogy,Kaposvári,238,
Alsódobsza,község,Borsod-Abaúj-Zemplén,Szerencsi,280,
Alsógagy,község,Borsod-Abaúj-Zemplén,Encsi,80,
Alsómocsolád,község,Baranya,Hegyháti,284,
Alsónána,község,Tolna,Szekszárdi,697,
Alsónémedi,nagyközség,Pest,Gyáli,"5,264",
Alsónemesapáti,község,Zala,Zalaegerszegi,660,
Alsónyék,község,Tolna,Szekszárdi,751,
Alsóörs,község,Veszprém,Balatonfüredi,"1,653",
